,keys,value
0,aborbed,"{'701, 2': 'The radiation is aborbed by the Earth.'}"
1,absorb,"{'1008, 5': 'The bacteria absorb the resulting components.', '1053, 2': 'The plants and floor absorb the the sunlight.', '113, 2': 'The roots absorb water and minerals from the soil.', '1214, 5': 'Insulin signals cells to absorb sugar.', '1214, 6': 'The cells absorb sugar from the bloodstream.', '330, 3': 'Plants absorb carbon dioxide through their stoma.', '330, 4': 'Plants absorb water through their roots and other parts of themselves.', '330, 5': 'Plants absorb minerals through their roots.', '365, 2': 'Causes them to absorb aluminum from soil.', '367, 2': 'The plants roots absorb the water from the soil.', '369, 6': 'They absorb the water.', '377, 3': 'The lungs absorb the oxygen from the air.', '429, 4': 'Plants absorb this usable nitrogen through their roots.', '548, 5': 'The liver also produces a digestive juice called bile that helps the body absorb fat into the bloodstream.', '659, 3': 'Plants absorb the nitrates from soil into their roots through assimilation.', '660, 2': 'Plants absorb organic nitrogen from the soil through their roots.', '661, 3': 'Nitrates are what the plants can then absorb.', '661, 5': 'They absorb nitrates from the soil into their roots. Then the nitrogen gets used in amino acids, nucleic acids, and chlorophyll.', '671, 3': 'As the molecules absorb more energy, they start to move faster.', '779, 1': 'Plants absorb water from the ground through their root systems.', '893, 3': 'Insulin causes the body to absorb glucose from the blood.', '927, 2': 'The ground tries to absorb as much rain water as it can.', '927, 3': 'The ground becomes saturated with rain water and cannot absorb anymore.'}"
2,absorb,"{'1015, 5': 'Stir or whisk until all the dry flour has been absorbed.', '1053, 3': 'The absorbed sunlight is converted to heat.', '112, 2': 'Water is absorbed by the plant and transported to the leaves.', '1158, 9': 'Nutrients absorbed into blood stream.', '1226, 6': 'Absorbed by the body.', '13, 4': 'Precipitation is either absorbed into the ground or runs off into rivers.', '13, 5': 'Water that was absorbed into the ground is taken up by plants.', '349, 7': 'The sound continues to bounce off of things and produce echoes until it is totally absorbed or dissipated.', '411, 1': 'Visual perception begins as soon as the eye focuses light onto the retina, where it is absorbed by a layer of photoreceptor cells.', '478, 3': 'The rest of the energy is absorbed by land and oceans, heating the Earth.', '490, 7': 'Nutrients from food are absorbed into the blood stream.', '686, 2': 'Water is absorbed through roots.', '687, 2': 'Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.', '794, 5': 'Oxygen absorbed by small blood vessels.', '903, 3': 'The light is absorbed by photoreceptor cells.', '938, 1': 'Light energy is absorbed by chlorophyll in a plant.', '939, 3': 'Water is absorbed by the roots.', '939, 5': 'Sunlight is absorbed by a green chemical in the leaves.'}"
3,absorb,"{'892, 3': 'The ice crystals grow by absorbing surrounding water droplets.'}"
4,absorb,"{'1240, 2': 'The refrigerant within the coils absorbs the heat.', '186, 2': 'Bread absorbs water from the air.', '186, 3': 'Bread absorbs warmth from the air.', '349, 4': 'The object absorbs some of the sound waves.', '642, 5': 'Absorbs their tails.', '667, 5': 'Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.', '686, 4': 'Chlorophyll absorbs energy from sunlight.', '687, 3': ""Chlorophyll absorbs the sun's energy.""}"
5,accelerate,"{'1224, 6': 'Control rods slow or accelerate the reaction.'}"
6,accomplish,"{'1207, 1': 'Your body accomplishes ""rapid hemostasis"" (stops the bleeding) through a process called vasoconstriction, in which your blood vessels are closed tight.'}"
7,accomplish,"{'1063, 2': 'A group of people work to design a satellite capable of accomplishing the need.'}"
8,accumulate,"{'697, 3': 'The clouds travel and accumulate more water.', '727, 5': 'Over time, mud and silt accumulate over the bones.'}"
9,accumulate,"{'68, 3': 'Layer upon layer of remains accumulated.'}"
10,accumulate,"{'1155, 1': 'Dead organic material accumulates on the bottom of oceans, riverbeds or swamps, mixing with mud and sand.', '15, 3': 'Water accumulates in the sky.', '542, 6': 'Filtered waste accumulates in liquid form (urine).', '720, 5': 'Water vapor accumulates in the air.', '948, 4': 'The water accumulates on the earth.', '949, 3': 'The water vapor accumulates.'}"
11,accumulate,"{'1104, 5': 'Volcanoes erupt, accumulating lava, forming mountains.'}"
12,act,"{'915, 2': 'The movement is due to a combination of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained.'}"
13,activate,"{'412, 7': 'The vibrations activate tiny hair cells in your inner ear.'}"
14,activate,"{'1293, 4': 'The grinder is activated.'}"
15,act,"{'915, 5': 'And the force of gravity acts to move the particles along the sloping surface on which they are resting.'}"
16,adapt,"{'1136, 1': 'Owls have specially adapted eyes that see better at night.'}"
17,add,"{'1002, 1': 'Add dirty laundry to the washing machine.', '1002, 2': 'Add laundry detergent to the washing machine.', '1005, 2': 'Add water into the tray.', '1015, 4': 'Add eggs and vegetable oil to the dry ingredients.', '1062, 3': 'Add rocket fuel.', '436, 1': 'Add water to a pot.'}"
18,add,"{'1047, 3': 'A detergent is added to the detergent dispenser.', '1130, 5': 'The chewed up wax is steadily added, making the hive bigger and bigger.', '1266, 4': 'Leaves, mud and spider webs are added to the sticks.', '1293, 7': 'Sometimes a bit of salt is added to the grounds to bring out flavor.', '310, 4': 'Oxygen is added to your blood.', '321, 3': 'Fertilizer is added to the soil.', '416, 4': 'Minerals are added to the callous.', '557, 5': 'The grapes are crushed and added to a fermation container.', '557, 6': 'Yeast is added to the container.', '872, 3': 'A pump is added to the pipe.'}"
19,add,"{'1150, 8': 'Adding an external circuit allows the exchange to continue.'}"
20,address,"{'485, 6': 'Address the outside.'}"
