line_id,paragraphID,sentence ID,topic,prompt,sentence,segmentation,change_of_state,spatial_relationships,part_whole_relationships,notes
13,37,6,fossil,How are fossils formed?,Fossils are formed.,V:form|P:PBUILD|A:fossils|O:fossils|F:NAN|T:NAN,UNK->fossils,fossils(nowhere->somewhere),,
18,48,8,volcanic eruption,What happens during a vocanic eruption?,Mudslides and ash clouds cause problems after some eruptions.,V:cause|P:ABUILD|A:mudslides&ash clouds|O:problems|F:NAN|T:NAN,,,rest of floodwater(part(flood water)),"Becaus their existence build something(problems), but problems are not (necessarily) mental. We propose to add a ABUILD primitive here for ABSTRCT BUILD."
24,58,9,flood,How do floods happen?,The rest of the floodwater evaporates.,V:evaporate|P:PBUILD|A:rest of floodwater|O:floodwater|F:UNK|T:air,floodwater->vapor,floodwater(on(gound)->up(space)),,"Space' did not appear in the sentence. Rather, it's an abstract notion of the whole space the actor/object was in."
25,61,1,sedimentary rock,How does sediment turn into sedimentary rock?,Minerals fill spaces between bits of sediment.,V:fill|P:PTRANS|A:minerals|O:spaces|F:UNK|T:spaces,,minerals(outside(spaces))->inside(spaces))&&between(bits of sediment),,
29,69,6,coal,How does coal form?,Pressure caused by sedimentary rocks squeezes water out of the peat.,V:squeeze|P:PROPEL|A:pressure|O:water|F:peat|T:UNK//V:cause|P:PBUILD|A:sedimentary rocks|O:pressure|F:NAN|T:NAN,,water(inside(peak)->outside(peak)),,
31,76,4,sedimentary rock,How does sedimentary rock form?,The layers of sediment are pressed together by other layers of sediment on top.,V:press|P:PROPEL|A:sediment1|O:sediment2|F:UNK|T:UNK&&V:press|P:PTRANS|A:sediment1|O:sediment2|F:UNK|T:UNK&&V:press|P:JOIN|A:sediment1|O:sediment2|F:UNK|T:UNK,,sediment1(down->up)//sediment2(up->down),layers of sediemnt(part(sediement))//other layers of sediemnt(part(sediement)),"To differentiate different layers of sediments, we used 1 and 2"
56,221,3,cloud,How are clouds formed?,Some of the vapor condenses onto tiny pieces of dust that are floating in the air.,V:condense|P:PBUILD|A:vapor|O:NAN|F:NAN|T:dust//V:float|P:PTRANS|A:dust|O:NAN|F:UNK|T:UNK,vapor->water/ice,vapor(unconnected(dust)->connected(dust)),some of the vapor(part(vapor))//some part of the air(part(air)),
62,251,5,tree rings,How do rings form inside the trunk of a tree?,The bark leaves a ring.,V:leave|P:PBUILD|A:bark|O:ring|F:NAN|T:NAN,nothing->ring,ring(nowhere->somewhere),ring(NAN->part(tree)),
65,254,5,seed dispersal,How do plants use animals to help disburse their seeds?,The seed is digested by the animal and excreted into a new area.,V:digest|P:INGEST|A:animal|O:seed|F:NAN|T:NAN//V:excrete|P:EXPEL|A:animal|O:seed|F:UNK|T:a new area,,seed(inside(animal)->outside(animal))//seed(NAN->inside(new area)),seed(NAN->part(new area)),
71,280,3,electromagnet,How does an electromagnet work?,A magnetic field is produced by the current.,V:produce|P:PBUILD|A:current|O:magnetic field|F:NAN|T:NAN,nothing->magnatic field,magnetic field(nowhere->somewhere),,
