line_id,paragraphID,sentence ID,topic,prompt,sentence
0,4,1,oil,How does oil form?,Plants die.
0,4,2,oil,How does oil form?,They are buried in sediment.
0,4,3,oil,How does oil form?,Bacteria is buried in the sediment.
0,4,4,oil,How does oil form?,Large amounts of sediment gradually pile on top of the original sediment.
0,4,5,oil,How does oil form?,Pressure builds up.
0,4,6,oil,How does oil form?,Heat increases.
0,4,7,oil,How does oil form?,The chemical structure of the buried sediment and plants changes.
0,4,8,oil,How does oil form?,The sediment and plants are at least one mile underground.
0,4,9,oil,How does oil form?,The buried area is extremely hot.
0,4,10,oil,How does oil form?,More chemical changes happen and the buried material becomes oil.
1,5,1,oil,How does oil form?,Algae and plankton die.
1,5,2,oil,How does oil form?,The dead algae and plankton end up part of sediment on a seafloor.
1,5,3,oil,How does oil form?,The sediment breaks down.
1,5,4,oil,How does oil form?,The bottom layers of sediment become compacted by pressure.
1,5,5,oil,How does oil form?,Higher pressure causes the sediment to heat up.
1,5,6,oil,How does oil form?,The heat causes chemical processes.
1,5,7,oil,How does oil form?,The material becomes a liquid.
1,5,8,oil,How does oil form?,Is known as oil.
1,5,9,oil,How does oil form?,Oil moves up through rock.
2,7,1,volcano,What causs a volcano to erupt?,Magma rises from deep in the earth.
2,7,2,volcano,What causs a volcano to erupt?,The magma goes into volcanos.
2,7,3,volcano,What causs a volcano to erupt?,The volcanos pressure the magma upwards.
2,7,4,volcano,What causs a volcano to erupt?,The pressure causes the magma to push through the surface of the volcano.
2,7,5,volcano,What causs a volcano to erupt?,The lava cools.
2,7,6,volcano,What causs a volcano to erupt?,The lava forms new rock.
2,7,7,volcano,What causs a volcano to erupt?,New magma is pressured to the surface of the volcano.
2,7,8,volcano,What causs a volcano to erupt?,The volcano bursts through the rock the formed after the last eruption.
3,11,1,erosion by ocean,What happens during erosion by the ocean?,Water from the ocean washes onto beaches in waves.
3,11,2,erosion by ocean,What happens during erosion by the ocean?,The waves contain sediment from the ocean.
3,11,3,erosion by ocean,What happens during erosion by the ocean?,The water and particles in it hit rocks and sand on the beach.
3,11,4,erosion by ocean,What happens during erosion by the ocean?,The wind and current sometimes push the water and particles harder.
3,11,5,erosion by ocean,What happens during erosion by the ocean?,Tiny parts of the rocks on the shore come off the larger rocks.
3,11,6,erosion by ocean,What happens during erosion by the ocean?,The waves pick up sand and small rocks from the beach.
3,11,7,erosion by ocean,What happens during erosion by the ocean?,The waves go back out into the ocean.
3,11,8,erosion by ocean,What happens during erosion by the ocean?,The waves carry the new particles with them.
3,11,9,erosion by ocean,What happens during erosion by the ocean?,Rocks and the beach look a little different.
4,13,1,water cycle,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor."
4,13,2,water cycle,What happens during the water cycle?,Water vapor condenses into millions of tiny droplets that form clouds.
4,13,3,water cycle,What happens during the water cycle?,"Clouds lose these droplets through rain or snow, also caused precipitation."
4,13,4,water cycle,What happens during the water cycle?,Precipitation is either absorbed into the ground or runs off into rivers.
4,13,5,water cycle,What happens during the water cycle?,Water that was absorbed into the ground is taken up by plants.
4,13,6,water cycle,What happens during the water cycle?,Plants lose water from their surfaces as vapor.
4,13,7,water cycle,What happens during the water cycle?,The vapor goes back into the atmosphere.
4,13,8,water cycle,What happens during the water cycle?,"Water that runs off into rivers flows into ponds, lakes, or oceans."
4,13,9,water cycle,What happens during the water cycle?,The water evaporates back into the atmosphere.
5,14,1,water cycle,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor."
5,14,2,water cycle,What happens during the water cycle?,Water vapor forms droplets in clouds.
5,14,3,water cycle,What happens during the water cycle?,Water droplets in clouds become rain or snow and fall.
5,14,4,water cycle,What happens during the water cycle?,Some water goes into the ground.
5,14,5,water cycle,What happens during the water cycle?,Some water flows down streams into rivers and oceans.
6,15,1,water cycle,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures."
6,15,2,water cycle,What happens during the water cycle?,Water evaporates from the earth.
6,15,3,water cycle,What happens during the water cycle?,Water accumulates in the sky.
6,15,4,water cycle,What happens during the water cycle?,The water forms clouds in the sky.
6,15,5,water cycle,What happens during the water cycle?,Large amounts of water end up in bigger clouds as more water evaporates.
