,sentence,sentence ID,paragraphID
0,plant die.,1,4
1,they be bury in sediment.,2,4
2,bacteria be bury in the sediment.,3,4
3,large amount of sediment gradually pile on top of the original sediment.,4,4
4,pressure build up.,5,4
5,heat increase.,6,4
6,the chemical structure of the bury sediment and plant change.,7,4
7,the sediment and plant be at least one mile underground.,8,4
8,the bury area be extremely hot.,9,4
9,more chemical change happen and the bury material become oil.,10,4
10,alga and plankton die.,1,5
11,the dead alga and plankton end up part of sediment on a seafloor.,2,5
12,the sediment break down.,3,5
13,the bottom layer of sediment become compact by pressure.,4,5
14,Higher pressure cause the sediment to heat up.,5,5
15,the heat cause chemical process.,6,5
16,the material become a liquid.,7,5
17,be know a oil.,8,5
18,oil move up through rock.,9,5
19,Magma rise from deep in the earth.,1,7
20,the magma go into volcano.,2,7
21,the volcano pressure the magma upwards.,3,7
22,the pressure cause the magma to push through the surface of the volcano.,4,7
23,the lava cool.,5,7
24,the lava form new rock.,6,7
25,New magma be pressured to the surface of the volcano.,7,7
26,the volcano burst through the rock the form after the last eruption.,8,7
27,Water from the ocean wash onto beach in wafe.,1,11
28,the wafe contain sediment from the ocean.,2,11
29,the water and particle in it hit rock and sand on the beach.,3,11
30,the wind and current sometimes push the water and particle harder.,4,11
31,tiny part of the rock on the shore come off the larger rock.,5,11
32,the wafe pick up sand and small rock from the beach.,6,11
33,the wafe go back out into the ocean.,7,11
34,the wafe carry the new particle with they.,8,11
35,rock and the beach look a little different.,9,11
36,"Water from ocean, lake, swamp, river, and plant turn into water vapor.",1,13
37,Water vapor condense into million of tiny droplet that form cloud.,2,13
38,"cloud lose these droplet through rain or snow, also cause precipitation.",3,13
39,precipitation be either absorb into the ground or run off into river.,4,13
40,Water that be absorb into the ground be take up by plant.,5,13
41,plant lose water from they surface a vapor.,6,13
42,the vapor go back into the atmosphere.,7,13
43,"Water that run off into river flow into pond, lake, or ocean.",8,13
44,the water evaporate back into the atmosphere.,9,13
45,"Water from ocean, lake, river, swamp, and plant turn into water vapor.",1,14
46,Water vapor form droplet in cloud.,2,14
47,Water droplet in cloud become rain or snow and fall.,3,14
48,some water go into the ground.,4,14
49,some water flow down stream into river and ocean.,5,14
50,"Water be on the earth in ocean, other body of water, and living creature.",1,15
51,Water evaporate from the earth.,2,15
52,Water accumulate in the sky.,3,15
53,the water form cloud in the sky.,4,15
54,large amount of water end up in bigger cloud a more water evaporate.,5,15
55,the cloud become heavy from all the water.,6,15
56,the water fall back to earth a rain or snow from the cloud.,7,15
57,sediment settle in a place due to gravity.,1,20
58,the sediment break down into small particle.,2,20
59,wind or water pick up the sediment.,3,20
60,the sediment travel along the same route a the wind or water.,4,20
61,the sediment be deposit at new location by the wind or water.,5,20
62,the sediment be pick up again by new wind or water.,6,20
63,the sediment travel further.,7,20
64,the sediment be deposit again in a new place.,8,20
65,a large rocky area be form.,1,22
66,the rocky area have a higher elevation than the surround area.,2,22
